"name","abd","abd_unit","lat","lng","state","county","comment"
"Mammuthus","","",18.616667,-97.900002,"Puebla","","""one kilometer east of Road 455 that connects La Colorada and Tepexi de Rodriquez. On the southern bank of the Rio Axamilpa..."""
"Mammuthus","","",43.0,-118.0,"Idaho","Owyhee","SW side of Jackass Butte, near Grand View"
"Mammuthus","","",37.047699,-100.495201,"Kansas","Meade","""SE1/4SE1/4 sec. 32, T. 34 S., R. 29 W., XI Ranch, Meade County"""
"Mammuthus columbi","","",40.200001,-98.099998,"Nebraska","Nuckolls",""
"Mammuthus columbi","","",37.099998,-100.900002,"Kansas","Seward","1.5 mi E of Arkalon Station"
"Mammuthus columbi","","",36.799999,-100.5,"Oklahoma","Beaver","4.5 mi N and 1 mi W of Gate"
"Mammuthus","","",43.799999,-99.199997,"South Dakota","Brule",""
"Mammuthus","","",32.900002,-117.099998,"California","San Diego",""
"Mammuthus columbi","","",35.0,-101.900002,"Texas","Randall","Newton Harrell/Bill Howse Ranch, 8 km S and 18 km E of Canyon"
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",34.799999,-117.0,"California","San Bernardino",""
"Mammuthus","37","specimens",34.799999,-117.0,"California","San Bernardino","E of Yermo"
"Mammuthus hayi","","",21.799999,-102.300003,"Aguascalientes","","SE of Aguascalientes"
"Mammuthus","","",34.5,-100.099998,"Texas","Childress","15 km NW of Childress"
"Mammuthus","","",28.799168,-82.070274,"Florida","Sumter","Dixie Lime and Stone Corporation's Coleman II mine, near Coleman, Sumter County, Florida (SE 1/4, NW 1/4, Sec. 7, T 20 S, R 23 E"""
"Mammuthus columbi","","",37.200001,-100.300003,"Kansas","Meade",""
"Mammuthus","","",64.800003,-147.800003,"Alaska","Fairbanks North Star","Fairbanks<br>county assignment uncertain"
"Mammuthus","","",37.200001,-100.300003,"Kansas","Meade",""
"Mammuthus","","",36.700001,-99.900002,"Oklahoma","Harper","9 mi W of Buffalo"
"Mammuthus columbi","","",46.400002,-105.800003,"Montana","Custer","north of Miles City"
"Mammuthus","","",52.206112,-106.576942,"Saskatchewan","","""near the southeast corner of section 25, township 37, range 5, W. 3rd. Meridian. This is 3 miles north of Sutherland railway station and 6 miles northeast of the center of Saskatoon"" in ""a low, rounded hill rising about 15 feet above the surrounding prairie level"""
"Mammuthus columbi","","",34.0,-99.800003,"Texas","Foard",""
"Mammuthus columbi","","",31.700001,-114.5,"Sonora","","mouth of Colorado River"
"Mammuthus columbi","","",33.599998,-117.800003,"California","Orange","Ralph Clark Regional Park, Fullerton"
"Mammuthus","","",34.799999,-117.0,"California","San Bernardino","Victorville"
"Mammuthus","","",37.056667,-120.195831,"California","Madera","south of Chowchilla; 34 Miles north of Fresno"
"Mammuthus columbi","","",35.5,-106.199997,"New Mexico","Santa Fe","1 mi SW of Galisteo"
"Mammuthus hayi","","",33.75,-99.5,"Texas","Knox and Baylor",""
"Mammuthus hayi","","",43.0,-115.699997,"Idaho","Elmore","2 mi SE of Glenns Ferry"
"Mammuthus","","",64.800003,-147.800003,"Alaska","Fairbanks North Star","Fairbanks<br>county assignment uncertain"
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","Sheridan",""
"Mammuthus columbi","","",38.299999,-97.599998,"Kansas","McPherson",""
"Mammuthus columbi","","",48.799999,-110.0,"Montana","Hill","Havre"
