"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"157317","occ","","","13949","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Pleistocene","","2.588","0.0117","6175","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.900002","18.616667","MX","Puebla","","estimated from map","minutes","outcrop","""one kilometer east of Road 455 that connects La Colorada and Tepexi de Rodriquez. On the southern bank of the Rio Axamilpa..."""
"194177","occ","","","19913","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Blancan","","4.9","1.8","2841","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-118.000000","43.000000","US","Idaho","Owyhee","based on political unit","1","small collection","SW side of Jackass Butte, near Grand View"
"195967","occ","","","20137","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Irvingtonian","","1.8","0.3","3081","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-100.495201","37.047699","US","Kansas","Meade","stated in text","4","outcrop","""SE1/4SE1/4 sec. 32, T. 34 S., R. 29 W., XI Ranch, Meade County"""
"196029","occ","","","20143","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2419","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.099998","40.200001","US","Nebraska","Nuckolls","based on political unit","1","small collection",""
"196055","occ","9190","","20148","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2391","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-100.900002","37.099998","US","Kansas","Seward","based on political unit","1","","1.5 mi E of Arkalon Station"
"196127","occ","","","20157","Mammuthus cf. columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3211","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-100.500000","36.799999","US","Oklahoma","Beaver","based on political unit","1","","4.5 mi N and 1 mi W of Gate"
"196136","occ","","","20158","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Irvingtonian","","1.8","0.3","2780","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.199997","43.799999","US","South Dakota","Brule","based on political unit","1","small collection",""
"196139","occ","","","20161","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Irvingtonian","","1.8","0.3","1395","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.099998","32.900002","US","California","San Diego","based on political unit","1","",""
"196167","occ","","","20163","Mammuthus cf. imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6202","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.900002","35.000000","US","Texas","Randall","based on political unit","1","","Newton Harrell/Bill Howse Ranch, 8 km S and 18 km E of Canyon"
"196411","occ","","","20201","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Irvingtonian","","1.8","0.3","2725","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.000000","33.900002","US","California","Riverside","based on political unit","1","small collection",""
